Region,Treatment,total_root_length
North,wet,626.29
North,dry,943.47
South,dry,980.1
South,wet,869.43
South,dry,747.34
North,wet,627.77
North,wet,727.48
South,wet,960.84
South,dry,172.55
North,wet,1130.97
South,wet,798.52
North,wet,283.06
North,wet,884.69
South,dry,504.6
North,dry,155.11
South,wet,712.3
North,dry,563.51
South,dry,626.14
South,dry,522.96
South,dry,821.01
South,dry,422.17
South,dry,659.21
South,dry,423.12
South,wet,789.74
North,dry,839.81
North,dry,673.58
South,dry,551.79
South,dry,395.29
North,wet,1597.04
South,wet,1152.18
South,dry,978.02
North,wet,876.15
South,dry,466.34
North,dry,605.87
North,dry,905.96
North,dry,760.4
North,dry,551.09
North,dry,670.36
South,wet,745.2
South,dry,542.01
North,dry,614
South,wet,828.79
South,wet,1007.77
South,wet,779.56
North,wet,835.01
North,dry,866.69
South,dry,727.73
North,dry,633.05
North,wet,664.93
South,dry,366.06
South,wet,669.41
South,wet,899.5
North,dry,1122.98
North,wet,985.53
North,wet,968.02
North,wet,1609.27
South,wet,1014.8
South,wet,1195.07
North,wet,898.82
South,wet,1166.92
South,wet,1017.24
North,wet,1351.6
North,wet,1035.57
North,dry,770.79
South,dry,331.99
North,wet,1068.98
South,wet,1034.88
South,wet,1103.96
South,dry,524.21
South,dry,878.33
North,wet,904.64
North,dry,1104.62
North,dry,1371.81
North,wet,304.9
South,wet,1458.19
South,dry,663.97
North,dry,1038.25
South,dry,697.45
North,dry,913.38
North,dry,1052.44
South,dry,783.11
South,dry,825.28
South,dry,1019.33
North,dry,830.35
North,dry,609.16
South,dry,717.73
North,wet,1044.02
South,wet,1105.52
North,dry,675.24
South,dry,420.03
North,dry,741.61
North,dry,546.46
South,wet,949.47
North,dry,701.52
North,wet,743.78
South,dry,827.32
North,dry,855.92
North,dry,895.84
North,wet,561.58
South,wet,1180.42
North,dry,918.91
North,wet,846.93
South,wet,1081.49
South,wet,649.35
North,wet,582.41
South,dry,697.76
North,wet,1306.8
